Sample,Latitude,Longitude
A11642G_Q,52.3111833333,1.711
A20858G_Q,52.2900166667,1.7203833333
A21107G_Q,52.291,1.7103166667
A21134G_Q,52.2642,1.7050666667
A21400Q,52.1731666667,1.7391333333
A21401G_Q,52.2650333333,1.6865333333
A21439G_Q,52.2663,1.6579333333
A30759Q,52.1737166667,1.7297666667
A30845G_Q,52.2893166667,1.7293
A30849Q,52.29955,1.66595
A31011_Q,52.2622333333,1.7338833333
A31031G_Q_note some organics,52.2882,1.7478333333
A31238G_Q,52.2668666667,1.6375833333
A31238Q,52.2957666667,1.6593166667
A31403G_Q,52.2644833333,1.6959166667
A31418_Q,52.2258666667,1.6982
A40705G_Q,52.2661666667,1.66755
A40817G_Q,52.2917,1.69065
A40849Q,52.1726,1.7595
A40856_Q,52.2243166667,1.7075833333
A40916G_Q,52.2656,1.6764666667
A40930_Q,52.22755,1.68905
A40932Q,52.1742833333,1.71055
A41034_Q,52.2291,1.68035
A41041G_Q,52.2212333333,1.7270166667
A41055G_Q,52.2665833333,1.6474166667
A41111_Q,52.2307833333,1.67075
A41325G_Q,52.3151166667,1.6936166667
A41325Q,52.1730166667,1.7494333333
A41400_Q,52.2326166667,1.6616
A50727G_Q,52.30685,1.7283833333
A51138G_Q_note some organics,52.28875,1.7389166667
A51155G_Q,52.2199666667,1.7361666667
A51229G_Q,52.2182833333,1.7462333333
A51253Q,52.31105,1.6876833333
A51323G_Q,52.2163166667,1.7553833333
A51330G_Q,52.2153333333,1.7645333333
A51340G_Q,52.20985,1.6305
A51523G_Q,52.2925333333,1.6712
A51607G_Q,52.2912833333,1.70095
A51608Q,52.3032,1.6725833333
A51609Q,52.3071333333,1.6801333333
A51610G_Q,52.2071833333,1.6391833333
A51613G,52.20535,1.6481
A51615G_Q,52.2945,1.6522166667
A51636G_Q,52.2036666667,1.6568
A60943Q,52.2897333333,1.6549666667
A61005Q,52.2835666667,1.6531333333
A61117G_Q ?undigested?,52.1988833333,1.6748666667
A61117Q,52.1738666667,1.7197
A61142_Q,52.23555,1.6433
A61159_Q,52.2337333333,1.6522166667
A61220G_Q,52.1965,1.68425
A61229_Q,52.2369666667,1.6346166667
A61236G_Q,52.1951,1.6931666667
A61246G_Q,52.1929833333,1.70255
A61252G,52.1918666667,1.7197
A70715G_Q,52.2919833333,1.68195
A70921_Q,52.26125,1.7540166667
A70954G_Q,52.1914333333,1.7297666667
A71054_Q,52.3133,1.70255
A71102G_Q,52.29325,1.6625166667
A71103G_Q,52.30235,1.746
A71104_Q,52.2615333333,1.74395
A71208_Q,52.2637833333,1.7144333333
A71209G_Q,52.1915833333,1.7494333333
A71348Q,52.2778166667,1.6517666667
A71452_Q,52.2632166667,1.7247333333
A71459G_Q,52.30895,1.7194666667
A71508G,52.1917166667,1.7393666667
A80947G_Q,52.3050166667,1.738
CT_Foredune_HCl,52.1751333333,1.6817333333
CT-01B_3_acidified  Core at rear of mangroves Claret Bay,52.1754166667,1.6618333333
OP_HCl   Old playa,52.1758333333,1.6433
Parakeelya calcarenite (digested bedrock),52.2226333333,1.71695
Parakeelya_white beach,52.3175,1.68425
Parakeelya_white beach,52.1745666667,1.7000333333
PK_HCl - Parakeeyla beach,52.1747,1.6911
RH3_HCl  Claret Bay core top,52.1754166667,1.6716666667
SH01_3_HCl,52.17555,1.6526833333
ST_01_5_HCl,52.1761166667,1.6227166667
Streeter Lagoon_CaCO3,52.1915833333,1.7590333333
TB02_5_HCl,52.1756833333,1.6332333333
