sample,lat,long
G0001,52.3175000000,1.6842500000
G0002,52.3151166667,1.6936166667
G0003,52.3133000000,1.7025500000
G0004,52.3111833333,1.7110000000
G0005,52.3089500000,1.7194666667
G0006,52.3068500000,1.7283833333
G0007,52.3050166667,1.7380000000
G0008,52.3023500000,1.7460000000
G0009,52.2945000000,1.6522166667
G0010,52.2932500000,1.6625166667
G0011,52.2925333333,1.6712000000
G0012,52.2919833333,1.6819500000
G0013,52.2917000000,1.6906500000
G0014,52.2912833333,1.7009500000
G0015,52.2910000000,1.7103166667
G0016,52.2900166667,1.7203833333
G0017,52.2893166667,1.7293000000
G0018,52.2887500000,1.7389166667
G0019,52.2882000000,1.7478333333
G0020,52.2668666667,1.6375833333
G0021,52.2665833333,1.6474166667
G0022,52.2663000000,1.6579333333
G0023,52.2661666667,1.6675500000
G0024,52.2656000000,1.6764666667
G0025,52.2650333333,1.6865333333
G0026,52.2644833333,1.6959166667
G0027,52.2642000000,1.7050666667
G0028,52.2637833333,1.7144333333
G0029,52.2632166667,1.7247333333
G0030,52.2622333333,1.7338833333
G0031,52.2615333333,1.7439500000
G0032,52.2612500000,1.7540166667
G0033,52.2369666667,1.6346166667
G0034,52.2355500000,1.6433000000
G0035,52.2337333333,1.6522166667
G0036,52.2326166667,1.6616000000
G0037,52.2307833333,1.6707500000
G0038,52.2291000000,1.6803500000
G0039,52.2275500000,1.6890500000
G0040,52.2258666667,1.6982000000
G0041,52.2243166667,1.7075833333
G0042,52.2226333333,1.7169500000
G0043,52.2212333333,1.7270166667
G0044,52.2199666667,1.7361666667
G0045,52.2182833333,1.7462333333
G0046,52.2163166667,1.7553833333
G0047,52.2153333333,1.7645333333
G0048,52.2098500000,1.6305000000
G0049,52.2071833333,1.6391833333
G0050,52.2053500000,1.6481000000
G0051,52.2036666667,1.6568000000
G0052,52.2011333333,1.6664000000
G0053,52.1988833333,1.6748666667
G0054,52.1965000000,1.6842500000
G0055,52.1951000000,1.6931666667
G0056,52.1929833333,1.7025500000
G0057,52.1918666667,1.7197000000
G0058,52.1914333333,1.7297666667
G0059,52.1917166667,1.7393666667
G0060,52.1915833333,1.7494333333
G0061,52.1915833333,1.7590333333
G0062,52.1761166667,1.6227166667
G0063,52.1756833333,1.6332333333
G0064,52.1758333333,1.6433000000
G0065,52.1755500000,1.6526833333
G0066,52.1754166667,1.6618333333
G0067,52.1754166667,1.6716666667
G0068,52.1751333333,1.6817333333
G0069,52.1747000000,1.6911000000
G0070,52.1745666667,1.7000333333
G0071,52.1742833333,1.7105500000
G0072,52.1738666667,1.7197000000
G0073,52.1737166667,1.7297666667
G0074,52.1731666667,1.7391333333
G0075,52.1730166667,1.7494333333
G0076,52.1726000000,1.7595000000
G0077,52.3110500000,1.6876833333
G0078,52.3071333333,1.6801333333
G0079,52.3032000000,1.6725833333
G0080,52.2995500000,1.6659500000
G0081,52.2957666667,1.6593166667
G0082,52.2897333333,1.6549666667
G0083,52.2835666667,1.6531333333
G0084,52.2778166667,1.6517666667
G0085,52.2719166667,1.6504000000
G0086,52.2601333333,1.6478833333
G0087,52.2542333333,1.6465000000
G0088,52.2484833333,1.6455833333
G0089,52.2420166667,1.6449000000
G0090,52.2302166667,1.6417000000
G0091,52.2241833333,1.6403333333
G0092,52.2187000000,1.6387333333
G0093,52.2132166667,1.6382666667
G0094,52.2012833333,1.6362166667
G0095,52.1945333333,1.6353000000
G0096,52.1877833333,1.6346166667
G0097,52.1813166667,1.6316333333
G0098,52.2389333333,1.7624666667
G0099,52.2338833333,1.7565166667
G0100,52.2285333333,1.7508000000
G0101,52.2232000000,1.7455500000
G0102,52.2178666667,1.7402833333
G0103,52.2129500000,1.7352500000
G0104,52.2085833333,1.7302166667
G0105,52.2036666667,1.7247333333
G0106,52.1987500000,1.7183333333
G0107,52.1939666667,1.7133000000
G0108,52.1891833333,1.7078000000
G0109,52.1839833333,1.7023166667
G0110,52.1794833333,1.6970500000
G0111,52.2954833333,1.7515000000
G0112,52.2891666667,1.7531000000
G0113,52.2832833333,1.7556166667
G0114,52.2775333333,1.7579000000
G0115,52.2712166667,1.7599500000
G0116,52.2660333333,1.7611000000
G0117,52.2601333333,1.7622500000
G0118,52.2546500000,1.7645333333
G0119,52.2489000000,1.7659000000
G0120,52.2439833333,1.7684166667
G0121,52.2372500000,1.7681833333
G0122,52.2312000000,1.7681833333
G0123,52.2251666667,1.7681833333
G0124,52.2189833333,1.7681833333
G0125,52.2132166667,1.7681833333
G0126,52.2069000000,1.7681833333
G0127,52.2012833333,1.7684166667
G0128,52.1955166667,1.7681833333
G0129,52.1894666667,1.7675000000
G0130,52.1837000000,1.7675000000
G0131,52.1775166667,1.7675000000
G0132,52.1726000000,1.7684166667
G0133,52.3079666667,1.7027666667
G0134,52.3036166667,1.6947666667
G0135,52.2995500000,1.6883666667
G0136,52.2959000000,1.6808166667
G0137,52.2898833333,1.6684666667
G0138,52.2852500000,1.6673166667
G0139,52.2793500000,1.6664000000
G0140,52.2736000000,1.6654833333
G0141,52.2687000000,1.6641166667
G0142,52.2626500000,1.6627500000
G0143,52.2577500000,1.6616000000
G0144,52.2522666667,1.6600000000
G0145,52.2466500000,1.6590833333
G0146,52.2411833333,1.6577166667
G0147,52.2361166667,1.6563333333
G0148,52.2293833333,1.6552000000
G0149,52.2241833333,1.6540500000
G0150,52.2182833333,1.6529000000
G0151,52.2139166667,1.6520000000
G0152,52.2088666667,1.6510833333
G0153,52.2015666667,1.6497000000
G0154,52.1967833333,1.6487833333
G0155,52.1908833333,1.6478833333
G0156,52.1845500000,1.6462666667
G0157,52.1792000000,1.6444500000
G0158,52.3039000000,1.7165000000
G0159,52.2992666667,1.7082666667
G0160,52.2956333333,1.6995666667
G0161,52.2866500000,1.6819500000
G0162,52.2818833333,1.6801333333
G0163,52.2765500000,1.6794333333
G0164,52.2710833333,1.6776166667
G0165,52.2595666667,1.6760166667
G0166,52.2533833333,1.6744166667
G0167,52.2482000000,1.6728000000
G0168,52.2427166667,1.6716666667
G0169,52.2368166667,1.6707500000
G0170,52.2250333333,1.6682333333
G0171,52.2189833333,1.6666333333
G0172,52.2135000000,1.6654833333
G0173,52.2081666667,1.6648000000
G0174,52.1966333333,1.6634333333
G0175,52.1910166667,1.6613666667
G0176,52.1854000000,1.6597666667
