Sample,Latitude,Longitude
GS001,-34.05538,123.26905
GS002,-34.04249,123.29498
GS006,-33.9354,123.40527
GS007,-33.93616,123.48313
GS008,-33.94274,123.50287
GS009,-33.97401,123.49995
GS010,-33.97283,123.59125
GS011,-34.03754,123.49032
GS012,-33.99349,123.39303
GS014,-34.08917,123.27358
GS017,-34.08816,123.47176
GS018,-34.14634,123.43645
GS019,-34.17342,123.37046
GS020,-34.21808,123.46095
GS024,-34.27551,123.60241
GS025,-34.34061,123.58547
GS026,-34.34267,123.48791
GS027,-34.42159,123.51835
GS030,-34.55386,123.60433
GS032,-34.38939,123.58957
GS033,-34.25119,123.53859
GS034,-34.0905,123.55294
